date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:30	139699/139699	---M--	200	added ('OK')	image/jpeg	etag:%22221b3-664daaa2-b56882e8b6af4422;;;%22	https://eduport.webestica.com/assets/images/videos/poster.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/videos/poster.jpg	(from https://eduport.webestica.com/course-detail-min.html)
09:52:32	1849/1849	---M-Z	200	added ('OK')	text/plain	etag:%22739-664daaa1-600ea8301ced90fa;gz%22	https://eduport.webestica.com/assets/images/videos/en.vtt	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/videos/en.vtt	(from https://eduport.webestica.com/course-detail-min.html)
09:52:32	3108/3108	---M-Z	200	added ('OK')	text/plain	etag:%22c24-664daaa1-a66379ae03e2cbc;gz%22	https://eduport.webestica.com/assets/images/videos/fr.vtt	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/videos/fr.vtt	(from https://eduport.webestica.com/course-detail-min.html)
09:52:33	299253/299253	---M-Z	200	added ('OK')	application/x-javascript	etag:%22490f5-664da9d0-bdaf6fa4f4812f9f;gz%22	https://eduport.webestica.com/assets/vendor/plyr/plyr.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/vendor/plyr/plyr.js	(from https://eduport.webestica.com/course-detail-min.html)
09:52:34	7038/7038	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b7e-664da9d1-fb39e9fd10c12631;gz%22	https://eduport.webestica.com/assets/vendor/sticky-js/sticky.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/vendor/sticky-js/sticky.min.js	(from https://eduport.webestica.com/course-detail-adv.html)
09:52:35	1420495/1420495	---M--	200	added ('OK')	video/mp4	etag:%2215accf-664daa9e-7e6142df1d41a08c;;;%22	https://eduport.webestica.com/assets/images/videos/360p.mp4	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/videos/360p.mp4	(from https://eduport.webestica.com/course-detail-min.html)
09:52:35	151955/151955	---M--	200	added ('OK')	image/jpeg	etag:%2225193-664daa38-a40d5dd2bdbcd651;;;%22	https://eduport.webestica.com/assets/images/about/05.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/05.jpg	(from https://eduport.webestica.com/about.html)
09:52:36	119492/119492	---M--	200	added ('OK')	image/jpeg	etag:%221d2c4-664daa39-e25079ccd19a7138;;;%22	https://eduport.webestica.com/assets/images/about/09.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/09.jpg	(from https://eduport.webestica.com/about.html)
09:52:36	172418/172418	---M--	200	added ('OK')	image/jpeg	etag:%222a182-664daa3a-76b51922313385f9;;;%22	https://eduport.webestica.com/assets/images/about/10.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/10.jpg	(from https://eduport.webestica.com/about.html)
09:52:36	90157/90157	---M--	200	added ('OK')	image/jpeg	etag:%221602d-664daa38-26ce5e5f9016a750;;;%22	https://eduport.webestica.com/assets/images/about/06.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/06.jpg	(from https://eduport.webestica.com/about.html)
09:52:37	5591/5591	---M-Z	200	added ('OK')	image/svg+xml	etag:%2215d7-664daa5d-2a4fe9c9331dc3b1;gz%22	https://eduport.webestica.com/assets/images/client/shippable.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/client/shippable.svg	(from https://eduport.webestica.com/about.html)
09:52:37	5579/5579	---M-Z	200	added ('OK')	image/svg+xml	etag:%2215cb-664daa56-f25e51001ce3a7f;gz%22	https://eduport.webestica.com/assets/images/client/algolia.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/client/algolia.svg	(from https://eduport.webestica.com/about.html)
09:52:37	2611612/2611612	---M--	200	added ('OK')	video/mp4	etag:%2227d99c-664daaa0-b0af10aefe1fa5dd;;;%22	https://eduport.webestica.com/assets/images/videos/720p.mp4	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/videos/720p.mp4	(from https://eduport.webestica.com/course-detail-min.html)
09:52:37	2606/2606	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a2e-664daa5a-a3f893c3fc445f02;gz%22	https://eduport.webestica.com/assets/images/client/importio.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/client/importio.svg	(from https://eduport.webestica.com/about.html)
09:52:37	3314/3314	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cf2-664daa5f-5874cef8eb72596b;gz%22	https://eduport.webestica.com/assets/images/client/yamaha.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/client/yamaha.svg	(from https://eduport.webestica.com/about.html)
09:52:38	44337/44337	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ad31-664daa73-57fe31c2e40849a3;gz%22	https://eduport.webestica.com/assets/images/element/contact.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/contact.svg	(from https://eduport.webestica.com/contact-us.html)
09:52:38	5002993/5002993	---M--	200	added ('OK')	video/mp4	etag:%224c56f1-664daa9f-2ae84905cbe4cef3;;;%22	https://eduport.webestica.com/assets/images/videos/1080p.mp4	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/videos/1080p.mp4	(from https://eduport.webestica.com/course-detail-min.html)
